page,section,provider,source_type,name,address,neighborhood,surface_m2,ocr_confidence
6,10,EL INDIO,Plazoleta,S/N,Rene Favaloroy Buenos Aires,Lapacho Sur,1657,0.993
6,10,EL INDIO,Plazoleta,S/N,Gob.Lazaro Barbieriy 9 de Julio(dos plazas),Lapacho Sur,2051,0.985
6,10,EL INDIO,Plaza,Ciuda del a,Bolivar esquina Frias Silva,Ciuda del a,5223,0.987
6,10,EL INDIO,Plaza,S/N,Costa Ricay Jose Hernandez,SITRAVI,4944,0.983
6,10,EL INDIO,Plazoleta,Leandro Alem,Juan Larreay Buenos Aires,Ampliacion Villa Alem,4128,0.99
6,10,EL INDIO,Plaza,B*Blasco I(Las Rosas Sur)3,Congres0ypje103/8SE,Blasco,3028,0.97
6,10,EL INDIO,Plaza,Atahualpa Yupanqui,Mejico4100,Viall,3880,0.954
6,10,EL INDIO,Rotonda,Sin nombre,Geronimo Helgueray Av Independencia,,5197,0.982
6,10,EL INDIO,Plazoleta,Sarmiento,Av.Roca y Alberdi,Sur,4800,0.979
6,10,EL INDIO,Plaza,Barrancasdel Sali A,Diegode Villarroely40noreste,Barrancasdel Sali,5785,0.99
6,10,EL INDIO,Boulevard,Adolfo del a Vega,Adolfo del a Vega entre(desde M.de Lunahasta Roca) COOPERATIVATRABAIOPORMASFUTURO,,11390,0.987
6,11,TRABAJO POR MAS FUTURO,Plazoleta,Dr.Cesar Carman,"Catamarca,Emilio Castelar,Lisandro del a Torre",Villa Urquiza,2216,0.974
6,11,TRABAJO POR MAS FUTURO,Plazoleta,Coop.Guemes,San Lucaseltalia,La Merced,8081,0.982
6,11,TRABAJO POR MAS FUTURO,Plazoleta,Sargento D.Juarez,Las Piedras3400/3500,Belgrano,1500,0.993
6,11,TRABAJO POR MAS FUTURO,Plaza,Int.Gregoriode Zavaleta,Pedro Le6n Gallo149-Pje.Agustin Maza150,Belgrano,1718,0.987
6,11,TRABAJO POR MAS FUTURO,Plazoleta,Jesus del a Divina Misericordia,Crisostomo Alvarez2950,Los Alamos,2322,0.991
6,11,TRABAJO POR MAS FUTURO,Plazoleta,islas Malvinas,"San Lorenzo2640,esquina Pje.Republica",Floresta,1100,0.985
6,11,TRABAJO POR MAS FUTURO,Plazoleta,Azopardo,"Gral.Lavalle1800,esquina Frias Silva",Ciuda del a,725,0.989
6,11,TRABAJO POR MAS FUTURO,Espacio Verde,Sin nombre,"Barrio Pte.Peron. PU:440Calle80/19,desde La Platahasta Av.Independencia",,32001,0.984
6,11,TRABAJO POR MAS FUTURO,Espacio Verde,Sin nombre,Barrio Pte.Per6n. PU:438Calle80/19SOentre La Platay Calle Sin Nombre COOPERATIVAJUNTOSPARAVIVIRMEJOR,,11690,0.986
6,12,JUNTOS PARA VIVIR MEJOR,Plaza,Francisco Avignone,Italia3200y Bulnes,B°Mo del o,1415,0.966
6,12,JUNTOS PARA VIVIR MEJOR,Plazoleta,Reina del a Paz,Diegode Villarroel1700,AGEFT,1749,0.992
6,12,JUNTOS PARA VIVIR MEJOR,Plazoleta,San Miguel,Benjamin Araoz1200,San Miguel,4200,0.989
6,12,JUNTOS PARA VIVIR MEJOR,Plazoleta,Dorrego,Av.Rocay Saenz Penia,Ex Aeropuerto,1600,0.983
6,12,JUNTOS PARA VIVIR MEJOR,Plaza,S/N,"Manuel Alberti2300,entre Ramirezde Velazcoy Pje Chazarreta",,,0.98
6,12,JUNTOS PARA VIVIR MEJOR,Plaza,Lola Mora,Av.Silvano Bores300y Santa Cruz,Sarmiento,6174,0.992
6,12,JUNTOS PARA VIVIR MEJOR,Plazoleta,Dr.Jose Lucas Penna,Av.Belgrano 2900,Ampliacion Jardin,2681,0.98
6,12,JUNTOS PARA VIVIR MEJOR,Plazoleta,Mitre,Av.Belgrano1400,Plazoleta Mitre,330,0.987
6,12,JUNTOS PARA VIVIR MEJOR,Plaza,GOKU,"Ernesto Padilla340,esquina Pje.Ernesto Colombres",Floresta,2479,0.993
6,12,JUNTOS PARA VIVIR MEJOR,Plazoleta,Estadosarabes,Av.Kirchner1500,Ciuda del a,1123,0.99
6,12,JUNTOS PARA VIVIR MEJOR,Plazoleta,Alfredo Rojas Paz,Amado Nervo1800-Pje.Juan Heller1800,Judiciall,1434,0.982
7,12,JUNTOS PARA VIVIR MEJOR,Plazoleta,Los Lapachos,Chacabuco1900,,800,0.99
7,12,JUNTOS PARA VIVIR MEJOR,Plaza,Lamadrid,Av.Saenz Penay24deseptiembre/Benjamin Araoz,EIBajo(Terminal Vieja),1297,0.978
7,12,JUNTOS PARA VIVIR MEJOR,Plazoleta,Rotonda San Cayetano,Av.Papa Franciscoy Antonio Berutti,,3255,0.993
7,12,JUNTOS PARA VIVIR MEJOR,Boulevard,America,Av.Americadesde Santa Fehasta Diagonal90. PU:520al538,,22429,0.991
7,12,JUNTOS PARA VIVIR MEJOR,Vera Autopista,TERRAPLEN,COSTADOOESTEde Aut.Circunvalacion PU376 COOPERATIVA THADEM,,8888,0.991
7,13,THADEM,Parque,Zenon Santillan,Colombia3100,Ampliacion Kennedy,24670,0.975
7,13,THADEM,Plazoleta,4dejunio,Mendoza3800y Esquiu,Aconquija,1704,0.969
7,13,THADEM,Plaza,Los Platanos,"Vicente Gallo1400,esquina Pje.Acevedo",Los Platanos,4717,0.982
7,13,THADEM,Espacio Verde,Espacioverde,PU460 COOPERATIVALOMASDETAFI,8*Fede Villa,22360,0.97
7,14,LOMAS DE TAFI,Plaza,Int.Roberto Avellaneda,Thamesy Lucio Mansilla250,Ferroviario,1154,0.975
7,14,LOMAS DE TAFI,Platabanda,Sin nombre,PU-282-283,Autopista,6537,0.966
7,14,LOMAS DE TAFI,Plaza,Nicomedes Juri,Juan Padrosy Huemul,240Viviendas,6306,0.992
7,14,LOMAS DE TAFI,Plaza,S/N,Benigno Vallejoentre Virlay Gorritihasta Juan Padros(2espacios/cuadras),Vialll,3409,0.954
7,14,LOMAS DE TAFI,Plaza,S/N,"Pedro L.Galloentre Juan Padrosy Lopez Manan(esun L,sinlaescuela)",Fede Villa,5962,0.973
7,14,LOMAS DE TAFI,Plazoleta,S/N,Av.Rocay Primera Junta,Villa Alem,370,0.991
7,14,LOMAS DE TAFI,Plazoleta,Joaquin Morales Sola,"Diegode Rojas147,alt San Lorenzo3200",Los Alamos,504,0.958
7,14,LOMAS DE TAFI,Plaza,S/N,Ignacio Gorritiy Pedro Berreta,76Viviendas,5075,0.983
7,14,LOMAS DE TAFI,Plazoleta,S/N,Lopez Pondaly Benigno Vallejos,Elena White,2831,0.988
7,14,LOMAS DE TAFI,Plaza,S/N,Av.71 NE-Pje.71/20NE-Pje.22/71NE P.U.270,130Viviendas,4734,0.986
7,14,LOMAS DE TAFI,Plaza,S/N,Rafael Obligadoy71/20NE P.U.269,130Viviendas,2603,0.99
7,14,LOMAS DE TAFI,Plaza,S/N,Venezuela200. PU:412 COOPERATIVAAGROPECUARIA,,2491,0.988
7,15,AGROPECUARIA,Plaza,1°de Mayo,Mendoza2650,Villa Lujan,16575,0.971
7,15,AGROPECUARIA,Plazoleta,Ing.Domingo Torres,Pueyrredon1000y Alsina,24de Septiembre,1528,0.981
7,15,AGROPECUARIA,Plazoleta,Dr.William Ernest Cross,Florida2600y Constitucion,Card Samore,2400,0.986
7,15,AGROPECUARIA,Plaza,Sin nombre,Av.Americo Vespucioy Av.Colon1900,SEOCI,2978,0.983
7,15,AGROPECUARIA,Platabanda,Sin nombre,PLATABANDAAV.AMERICAYDIAGONAL90HASTARAPELLI,B*FE PUT,3360,0.977
7,15,AGROPECUARIA,Plaza,Enrique G.Hamilton,Isabel la Catolica600(entre Maipuy Munecas),Los Pinos Il,3987,0.967
7,15,AGROPECUARIA,Espacio Verde,Sin nombre,"Costadodel BMutual Policial paralelo alcanalsur PU:323325,328",,19276,0.949
7,15,AGROPECUARIA,Espacioverde,Sin nombre,Av.Papa Fcoentre Jose Ingenieroy PMiguel Araoz-DELCENTROALSUR- P.U.393 COOPERATIVA PRENDATUC,,17826,0.991
7,16,PRENDA TUC,Plazoleta,Virgendel Rosariode San Nicolas,"Jose Manuel Estrada3800,esquina Fray M.Esquiu",Cooperget Il,2303,0.967
7,16,PRENDA TUC,Plazoleta,Dr.Pedro Cossio Paz,Jose Frias Araujoy Guido L.Garcia(Altura Espania4300),Ampliacion Padilla,6358,0.978
7,16,PRENDA TUC,Plaza,25de Mayo,Castro Barrosentre Ecuadory Paraguay,Kennedy,7126,0.992
7,16,PRENDA TUC,Plazoleta,ATSA,Av.Ejercitode Nortentre Paraguayy Ecuador,,4728,0.972
7,16,PRENDA TUC,Plaza,ATSA,"Av.Ejercitodel Norte,entre Colombiay Venezuela",,6342,0.99
7,16,PRENDA TUC,Plaza,ATSAII,Thamesentre Paraguayy Ecuador,,2619,0.989
7,16,PRENDA TUC,Plaza,S/N,Thamesy Paraguay,,2619,0.992
7,16,PRENDA TUC,Espacio Verde,Sin nombre,"B*Mutual Provincial. PU:480,481",,13566,0.98
7,16,PRENDA TUC,Espacio Verde,Sin nombre,"FFCC,desde San Juanhasta Av.Sarmiento,praleloa Marco Avellaneda. PU:315al318",,10584,0.957
7,16,PRENDA TUC,Espacio Verde,Sin nombre,Av.Papa Fcoentre Jose Ingenieroy PMiguel Araoz-DELCENTROALNORTE- P.U.393,,20011,0.994
8,17,ARTURO JAURETCHE,Parque,v Centenario,Av.Belgrano4250 COOPERATIVASANTA GUADALUPE,Parque,33507,0.988
8,18,SANTA GUADALUPE,Plaza,Rene Favaloro,"Bernabe Araoz4000,esquina Rene Favaloro",Parque Sur,10116,0.988
8,18,SANTA GUADALUPE,Plaza,Las Americas,Federico Helguera1900-Mejico3200,Ampliacion Kennedy,21444,0.99
8,23,SANTA GUADALUPE,Plaza,B*Policial IV,Fria Silvay Mercedesde Sanmartin- P.U259,B*Policial IV,6493,0.953
8,23,SANTA GUADALUPE,Terraplen,Alfredo Palacio,Alfredo Palaciosentre Av.Gobernadordel Campoy Av.Martin Berho PU:314,B°COPIAT,22123,0.98
8,23,SANTA GUADALUPE,Plaza,Juan Manuelde Rosas,Diagonal Padre Montiycalle Luis M.Drago- PU:161 COOPERATIVAELGAUCHO,B*Padre Monti,2707,0.972
8,19,EL GAUCHO,Plaza,Dr.Mario Molina,"Inca Garcilaso del a Vega,Pje.Alfredo Nobely Sara Carreras",,3337,0.967
8,19,EL GAUCHO,Plaza,S/N,Colombia4500y E.Echeverria,Farmaceutico,9363,0.992
8,19,EL GAUCHO,Boulevard,Diagonal90,Diagonal90entre Mejicoy Pje.Tagle,,8658,0.987
8,19,EL GAUCHO,Plaza,S/N,"sabella Catolica1600,esquina Lucas Cordoba",Los Andes,2270,0.978
8,19,EL GAUCHO,Plaza,ESPERANZA,,,11445,0.992
8,22,EL GAUCHO,Boulevard,Nestor Kirchner,Av.Kirchnerentre Av.Alemy Av.Adolfo dela ega.lncluyeplatabandaangosta,,28000,0.985
8,22,EL GAUCHO,Plaza,Sin nombre,Manuel Estrada4000,Congreso,7193,0.99
8,22,EL GAUCHO,Centro Autopista,Sin nombre,P.U.284-Km,,3357,0.995
8,22,EL GAUCHO,Boulevard,Amador Lucero,Amador Lucero/Thamesentre Lavalley San Martin COOPERATIVAAGUAS DEL VALLE TRAMO1DEROCAAINDEPENDENCIA TRAMO2DEINDEPENDENCIAARUTA301,,4153,0.995
8,20,AGUAS DEL VALLE,Platabanda,CANALSUR, TRAMO3DEINDEPENDENCIAACOLON TRAMO4DECOLONAINDEPENDENCIA COOPERATIVACONSTRUNOR,,32937,0.994
8,21,CONSTRUNOR,Plaza,Alejandro Heredia,Chile3300,Mo del o,16891,0.989
8,21,CONSTRUNOR,Plaza,Dupuy(ex Navarro),San Juan4700esquina Martin Rodriguez,Alperovich,1369,0.977
8,21,CONSTRUNOR,Plazoleta,Cristobal Colon,Diegode Rojasy Domingo Matheu3100,Independenciall,2240,0.987
8,21,CONSTRUNOR,Plaza,Dr.Ramon Domingo Auad,Pueyrredon2000y Baunany,SEOC200viviendas,4666,0.982
